epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1091.43,0.12755,0.3848,0.90079,0.85281,0.94379,0.995,0.995,0.25174,0.76117,0.36971,0.000610789,0.000610789,0.000610789
66,1109.02,0.12071,0.40421,0.93097,0.97955,1,0.995,0.993,0.25471,0.61749,0.3643,0.000594286,0.000594286,0.000594286
67,1126.8,0.12036,0.36541,0.90895,0.99372,1,0.995,0.98843,0.2681,0.60906,0.37099,0.000577782,0.000577782,0.000577782
68,1144.31,0.2412,0.74227,1.1185,0.99651,1,0.995,0.995,0.24634,0.64605,0.32299,0.000561279,0.000561279,0.000561279
69,1161.68,0.12669,0.4068,0.93343,0.99711,1,0.995,0.995,0.2396,0.63577,0.31021,0.000544776,0.000544776,0.000544776
70,1179.15,0.11974,0.37894,0.92089,0.99769,1,0.995,0.995,0.2505,0.62205,0.31849,0.000528272,0.000528272,0.000528272
71,1197.25,0.11975,0.38406,0.89764,0.99781,1,0.995,0.995,0.25626,0.60035,0.33984,0.000511769,0.000511769,0.000511769
72,1215.41,0.11157,0.38659,0.92839,0.99746,1,0.995,0.98542,0.26995,0.60949,0.38912,0.000495266,0.000495266,0.000495266
73,1233.02,0.16887,0.41937,0.98514,0.99703,1,0.995,0.98318,0.28153,0.6001,0.41607,0.000478762,0.000478762,0.000478762
74,1250.52,0.10307,0.41741,0.93936,0.99673,1,0.995,0.98502,0.27188,0.61495,0.40035,0.000462259,0.000462259,0.000462259
75,1268.09,0.11273,0.40394,0.9141,0.99649,1,0.995,0.98502,0.24876,0.58248,0.36888,0.000445756,0.000445756,0.000445756
76,1285.76,0.12662,0.38554,0.90987,0.99746,1,0.995,0.995,0.18642,0.48692,0.29806,0.000429253,0.000429253,0.000429253
